"keyword","target_url","content_angle"
"free phone wallpapers","/","Broad homepage intent"
"aesthetic phone wallpapers","/static/abstract-wallpapers/","Visual style collection"
"dark OLED wallpapers","/static/minimal-wallpapers/","Battery-friendly dark phone screens"
"cyberpunk phone wallpaper","/static/cyberpunk-wallpapers/","Neon rain and sci-fi visuals"
"nature phone wallpaper","/static/nature-wallpapers/","Calm natural imagery"
"anime live wallpapers","/live/anime-live-wallpapers/","Motion wallpaper category"
"AI wallpaper generator","/ai/text-to-image-wallpaper-generator/","Prompt to wallpaper tool"
"photo to CG AI","/ai/photo-to-cg/","Portrait style transformation"
"image to video wallpaper","/ai/image-to-video-wallpaper/","Still image animation"
"AI couple photo generator","/ai/ai-couple-photo/","Two-person AI image tool"
"AI video face swap","/ai/ai-video-face-swap/","Video face replacement tool"
